	KPSS	signal	gross	net	market
232	0.1662851815843372	0.0	0.0	0.0	0.04220259077449118
233	0.08638919236157612	0.0	0.0	0.0	-0.033922077046888544
234	0.09116921784281863	0.0	0.0	0.0	-0.01705385200037013
235	0.09423471233384398	-1.0	-0.004082342892925216	-0.004253242923536316	-0.07596969747745097
236	0.07609191352776755	-1.0	0.0004083944841307731	0.0004063086422104815	0.04939630628156144
237	0.12848721876025176	-1.0	0.007946310855497352	0.007937866407738588	-0.048868445131273974
238	0.1842474061083921	-1.0	0.02187432581829768	0.021869264047402394	-0.09511268097833658
239	0.21112517554061364	1.0	0.0587511234859671	0.05843623955950822	0.09287124972971839
240	0.0971904023495953	-1.0	0.04160886177549618	0.041272884153863536	-0.11984055240393443
241	0.07546503029547992	1.0	0.061813349434592366	0.06146029575132032	0.05995484974402432
242	0.0395423977692663	-1.0	-0.009577142445129944	-0.009914910379388393	-0.051830762729157875
243	0.04009315055094557	-1.0	-0.04807086458574013	-0.04807873489149655	0.0047078080405855705
244	0.052721436002206	0.0	0.0	-0.00017271132977061515	-0.04335951230846191
245	0.07153379174116917	1.0	0.02786767483935689	0.027697743408489153	-0.02929386782180443
246	0.04172799329023245	1.0	0.004625500878316334	0.004619768590540506	0.09382773976227554
247	0.03591595547329009	-1.0	0.06580911494376343	0.06545819424820289	0.011535011448221999
248	0.03796983510204968	0.0	0.0	-0.00017525697691697732	0.062414163303876835
249	0.032802075649447274	-1.0	-0.03526301744085573	-0.03543686624252472	-0.033687352562252526
250	0.03239522628465344	-1.0	0.021750165868657	0.021747469332662382	0.03351600948370015
251	0.05026149023873638	-1.0	0.01481664728243666	0.014815264428536359	-0.016012721914555605
252	0.09408902583780902	-1.0	-0.03691096292488067	-0.03691228866484869	-0.04414243033166543
253	0.10098554097497074	-1.0	0.008076299831699975	0.008074918300500809	0.02282934723487151
254	0.12384696564321718	-1.0	-0.007119008793512708	-0.0071220689706644035	-0.015137125124949469
255	0.15811586234629232	-1.0	0.0266462245085484	0.026643585502888423	0.07033131865275055
256	0.19420813226949404	-1.0	0.000385866706960124	0.0003856552367051823	-0.0016030527844311804
257	0.24800673201483353	-1.0	0.016536010602293302	0.01653353205547646	0.03405645287963033
258	0.29175700210637967	-1.0	0.01994609166550253	0.019944477405471995	0.014487410153376512
259	0.32423872917012786	1.0	0.02833339326284834	0.02796886883996947	-0.010104660822607414
260	0.33001118481960545	1.0	-0.0005529808535357714	-0.000559751727991332	0.030572589146256046
261	0.2712322184868743	1.0	0.0076698090666738085	0.007663675827034589	-0.022030438529415775
262	0.188930416667889	0.0	0.0	-0.0001803421423675785	0.005816689462164515
263	0.07907396208699247	-1.0	0.005684308688203835	0.005485097624634805	0.026793594848223412
264	0.05229698102575802	-1.0	-0.008582698779922397	-0.008584853074789192	-0.01788104803401469
265	0.08244606435137584	-1.0	0.0035621923738402943	0.0035600635372515094	-0.030674795694063395
266	0.11489950189774806	-1.0	-0.006886817044935391	-0.006914660187117526	0.022930247703843776
267	0.16147851056348858	-1.0	0.005568760461559725	0.005561627572817261	-0.0005394221197431159
268	0.181100350731686	-1.0	-0.02729129717606652	-0.02730612264966899	0.013918057304545428
269	0.24022545275170212	-1.0	0.024139781885553838	0.02413751698928038	0.014714069804799612
270	0.292682990118633	-1.0	-0.015400584290245907	-0.015404694690271014	-0.005242380698498916
271	0.30483903078026175	-1.0	0.03079189468194971	0.0307819105067764	0.026583916282167053
272	0.29158980998825423	0.0	0.0	-0.00019658780512364887	-0.009212446303987654
273	0.2597370194862638	0.0	0.0	0.0	-0.028059034078492195
274	0.25329174329639886	0.0	0.0	0.0	0.004249827591976452
275	0.2119869747199256	-1.0	-0.0011416577362664245	-0.0013084181111138967	0.009040556385797371
276	0.18129895961131368	-1.0	-0.004467117083174161	-0.004474027195530111	-0.006979410390386298
277	0.16910403708346897	1.0	0.008107430995854314	0.007763732426752479	0.011504630788313985
278	0.17003916081991938	1.0	-0.005857870162248591	-0.005858728690461231	0.016871538638701944
279	0.1373416961171478	-1.0	-0.010650370016154478	-0.010992167259925934	0.00013307822091168653
280	0.09331859023549759	-1.0	-0.0023825039353199424	-0.002386793299276091	-0.020500317528877154
281	0.07224999221959169	-1.0	-0.01537101580389165	-0.015378989731238456	-0.01746272460422804
282	0.1321998162705696	-1.0	-0.0039710481077735145	-0.0040002394781901264	0.01152482269503552
283	0.16004656635614914	-1.0	-0.021902887785968456	-0.021912141358053933	0.0039263632504382695
284	0.176624102323982	0.0	-0.0	-0.0001292786394150149	0.03150119163168075
285	0.14657135304045868	-1.0	0.015612770022954166	0.01548754981692229	-0.010484399194493177
286	0.10507254912750358	-1.0	0.014442997540361671	0.014424541102029531	0.01665110025908012
287	0.0890417313570453	-1.0	0.0009976699680091135	0.0009922344871500944	-0.007773596407737116
